MATCH_ID,MAP,TOURNAMENT,TEAM,SIDE,SCORE,RESULT,DURATION,HERO_1,HERO_2,HERO_3,HERO_4,HERO_5
28,1,ESL One Stockholm 2022,beastcoast,dire,22,WIN,31:55,Troll Warlord,Venomancer,Earth Spirit,Enchantress,Mars
28,2,ESL One Stockholm 2022,BOOM Esports,dire,43,WIN,35:26,Void Spirit,Grimstroke,Brewmaster,Pugna,Monkey King
28,2,ESL One Stockholm 2022,beastcoast,radiant,25,LOSE,35:26,Disruptor,Juggernaut,Phoenix,Earth Spirit,Mars
29,1,ESL One Stockholm 2022,BOOM Esports,dire,12,LOSE,36:40,Weaver,Queen of Pain,Treant Protector,Hoodwink,Dragon Knight
29,1,ESL One Stockholm 2022,Evil Geniuses,radiant,33,WIN,36:40,Templar Assassin,Witch Doctor,Razor,Io,Storm Spirit
29,2,ESL One Stockholm 2022,BOOM Esports,radiant,27,WIN,48:17,Underlord,Abaddon,Kunkka,Razor,Pugna
29,2,ESL One Stockholm 2022,Evil Geniuses,dire,25,LOSE,48:17,Ursa,Ember Spirit,Chen,Dragon Knight,Grimstroke
30,1,ESL One Stockholm 2022,BOOM Esports,radiant,33,WIN,44:27,Riki,Templar Assassin,Treant Protector,Mars,Keeper of the Light
30,1,ESL One Stockholm 2022,OG,dire,10,LOSE,44:27,Sand King,Kunkka,Winter Wyvern,Razor,Nyx Assassin
30,2,ESL One Stockholm 2022,BOOM Esports,dire,18,LOSE,36:30,Phantom Assassin,Ember Spirit,Bane,Shadow Shaman,Mars
30,2,ESL One Stockholm 2022,OG,radiant,50,WIN,36:30,Spectre,Jakiro,Clockwerk,Razor,Storm Spirit
31,1,ESL One Stockholm 2022,beastcoast,radiant,16,LOSE,30:15,Lifestealer,Lina,Clockwerk,Shadow Demon,Mars
31,1,ESL One Stockholm 2022,OG,dire,33,WIN,30:15,Slardar,Void Spirit,Grimstroke,Pugna,Tiny
31,2,ESL One Stockholm 2022,beastcoast,dire,35,LOSE,52:27,Sand King,Bloodseeker,Spirit Breaker,Timbersaw,Winter Wyvern
31,2,ESL One Stockholm 2022,OG,radiant,41,WIN,52:27,Keeper of the Light,Monkey King,Mars,Pugna,Enigma
32,1,ESL One Stockholm 2022,beastcoast,radiant,40,WIN,56:43,Templar Assassin,Rubick,Bloodseeker,Mars,Pugna
32,1,ESL One Stockholm 2022,T1,dire,37,LOSE,56:43,Chaos Knight,Dragon Knight,Mirana,Tiny,Grimstroke
32,2,ESL One Stockholm 2022,beastcoast,dire,20,LOSE,52:14,Luna,Death Prophet,Undying,Shadow Demon,Mars
32,2,ESL One Stockholm 2022,T1,radiant,51,WIN,52:14,Queen of Pain,Batrider,Treant Protector,Grimstroke,Dragon Knight
